代码,专业组名称
4203,吉林农业大学01专业组(不限)
4204,长春大学01专业组(不限)
4204,长春大学02专业组(不限)
4206,吉林财经大学01专业组(不限)
4206,吉林财经大学02专业组(不限)
4207,长春师范大学01专业组(不限)
4207,长春师范大学02专业组(不限)
4207,长春师范大学03专业组(不限)
4210,吉林建筑大学01专业组(不限)
4210,吉林建筑大学02专业组(生物或地理)
4212,吉林工程技术师范学院01专业组(不限)
4215,吉林师范大学01专业组(不限)
4215,吉林师范大学02专业组(不限)
4215,吉林师范大学03专业组(化学或地理)
4215,吉林师范大学04专业组(思想政治)
4220,吉林警察学院01专业组(不限)
4225,吉林农业科技学院01专业组(不限)
4228,吉林医药学院01专业组(不限)
4231,东北电力大学01专业组(不限)
4232,北华大学01专业组(不限)
4232,北华大学02专业组(思想政治)
4233,通化师范学院01专业组(不限)
4235,吉林化工学院01专业组(不限)
4235,吉林化工学院02专业组(化学或生物)
4237,吉林工商学院01专业组(不限)
4241,白城师范学院01专业组(不限)
4241,白城师范学院02专业组(不限)
4241,白城师范学院03专业组(化学或地理)
4241,白城师范学院04专业组(思想政治)
4302,哈尔滨工程大学01专业组(不限)
4303,东北林业大学01专业组(不限)
4304,东北农业大学01专业组(不限)
4306,黑龙江工程学院01专业组(不限)
4306,黑龙江工程学院02专业组(化学或地理)
4307,哈尔滨商业大学01专业组(不限)
4309,哈尔滨医科大学01专业组(不限)
4309,哈尔滨医科大学02专业组(化学)
4310,黑龙江科技大学01专业组(不限)
4310,黑龙江科技大学02专业组(思想政治)
4311,黑龙江大学02专业组(不限)
4311,黑龙江大学03专业组(思想政治)
4311,黑龙江大学04专业组(思想政治或地理)
4312,哈尔滨师范大学01专业组(不限)
4314,牡丹江师范学院01专业组(不限)
4314,牡丹江师范学院02专业组(地理)
4315,哈尔滨金融学院01专业组(不限)
4323,哈尔滨学院01专业组(不限)
4323,哈尔滨学院02专业组(不限)
4332,齐齐哈尔大学01专业组(不限)
4332,齐齐哈尔大学02专业组(思想政治)
4371,延边大学01专业组(不限)
5101,郑州大学01专业组(不限)
5103,中原工学院01专业组(不限)
5104,河南工业大学01专业组(不限)
5104,河南工业大学02专业组(不限)
5105,郑州航空工业管理学院01专业组(不限)
5106,郑州轻工业大学01专业组(不限)
5110,河南科技学院01专业组(不限)
5114,河南中医药大学01专业组(不限)
5117,河南农业大学01专业组(不限)
5118,信阳师范学院01专业组(不限)
5118,信阳师范学院02专业组(不限)
5119,河南财经政法大学01专业组(不限)
5119,河南财经政法大学02专业组(不限)
5119,河南财经政法大学03专业组(化学或地理)
5122,河南工程学院01专业组(不限)
5125,周口师范学院01专业组(不限)
5125,周口师范学院02专业组(生物或思想政治)
5125,周口师范学院03专业组(思想政治)
5131,洛阳理工学院01专业组(不限)
5132,河南科技大学01专业组(不限)
5133,洛阳师范学院01专业组(不限)
5134,平顶山学院01专业组(不限)
5141,河南大学01专业组(不限)
5141,河南大学02专业组(思想政治)
5141,河南大学03专业组(思想政治或地理)
5141,河南大学04专业组(地理)
5151,河南理工大学01专业组(不限)
5153,河南师范大学01专业组(不限)
5153,河南师范大学02专业组(不限)
5153,河南师范大学03专业组(思想政治)
5153,河南师范大学04专业组(思想政治)
5161,安阳工学院01专业组(不限)
5161,安阳工学院02专业组(地理)
5162,安阳师范学院01专业组(不限)
5172,郑州工程技术学院01专业组(不限)
5172,郑州工程技术学院02专业组(化学或地理)
5173,新乡学院01专业组(不限)
5173,新乡学院02专业组(思想政治和地理)
5174,许昌学院01专业组(不限)
5181,南阳师范学院01专业组(不限)
5181,南阳师范学院02专业组(化学或地理)
5181,南阳师范学院03专业组(思想政治)
5182,南阳理工学院01专业组(不限)
5182,南阳理工学院02专业组(不限)
5191,黄淮学院01专业组(不限)
5193,河南城建学院01专业组(不限)
5198,商丘师范学院01专业组(不限)
5198,商丘师范学院02专业组(思想政治)
5201,武汉大学02专业组(不限)
5202,华中科技大学01专业组(不限)
